Protocol,Source IP,Destination IP,Source MAC,Destination MAC,Packets,Time,label
ARP,37.87.164.92,67.80.7.130,44:37:EF:FD:71:7A,44:37:EF:FD:71:7A,154,90.71011204691303,1
DNS,250.85.209.193,170.249.38.24,40:C4:8A:7B:B1:B4,F1:85:C4:C4:8D:B0,2,44.67098762228304,0
DNS,37.2.100.71,52.16.201.255,DE:38:E2:EF:E6:87,B8:E9:F1:02:18:34,50,34.994309603141616,0
DNS,11.27.12.222,198.177.187.179,D1:71:67:F3:8C:54,A6:8D:6E:B9:9B:1B,46,78.14791657527472,0
ARP,51.103.170.206,19.191.237.119,AD:C6:70:55:E0:D3,6B:A0:44:FA:7A:06,88,8.824090690752506,1
ARP,54.42.191.196,0.81.23.88,E9:81:4D:4B:A2:F1,B1:56:60:DB:8C:41,116,62.00988512237943,1
ARP,185.83.168.229,93.105.222.22,89:5A:E7:4A:36:89,9A:F5:C6:04:8C:38,103,14.43472955181263,1
ICMP,0.207.199.234,141.57.161.188,A8:81:EC:E7:AE:C5,3F:43:EB:2E:7B:96,26,54.26471639119461,0
ARP,250.104.23.178,129.167.123.134,1B:E9:D1:D5:EB:06,1B:E9:D1:D5:EB:06,56,61.480533707892235,1
DNS,134.21.19.42,55.84.151.165,89:3A:F2:6E:79:5F,93:B6:60:6C:13:A2,13,12.962517471334834,0
HTTP,223.209.153.236,216.152.195.254,C8:90:71:29:EA:E4,0E:78:03:8E:DA:3A,33,11.54305335723047,0
HTTP,104.76.34.89,69.80.218.44,43:A0:3B:7B:E1:FC,61:12:43:47:28:3C,20,52.437212246899655,0
ARP,195.176.75.156,64.233.210.162,9C:67:52:37:69:6B,9C:67:52:37:69:6B,162,87.78140148439202,1
ARP,30.146.99.39,223.234.209.233,31:19:22:92:20:8A,66:EE:4C:84:A7:22,67,32.78332661168813,1
ARP,38.231.185.178,33.248.79.133,CE:74:58:79:E9:C8,CE:74:58:79:E9:C8,76,15.862534396058548,1
