timestamp,sender_mac,sender_ip,target_mac,target_ip,operation,label
1738842983.390945,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842984.166705,4c:5f:70:98:4d:bf,192.168.0.19,e0:19:54:14:e8:63,192.168.0.1,1,0
1738842984.173514,e0:19:54:14:e8:63,192.168.0.1,4c:5f:70:98:4d:bf,192.168.0.19,2,0
1738842984.411203,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842985.436042,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842985.947793,d4:8a:3b:2c:63:57,192.168.0.18,00:00:00:00:00:00,192.168.0.1,1,0
1738842988.405284,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842989.429304,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842990.452418,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842991.47928,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842992.500656,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842993.524625,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842995.882347,e0:19:54:14:e8:63,192.168.0.1,00:00:00:00:00:00,192.168.0.20,1,0
1738842997.520154,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842998.54239,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738842999.567992,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843000.59058,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843001.61698,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843003.868361,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843004.789388,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843005.159512,4c:5f:70:98:4d:bf,192.168.0.19,e0:19:54:14:e8:63,192.168.0.1,1,0
1738843005.162457,e0:19:54:14:e8:63,192.168.0.1,4c:5f:70:98:4d:bf,192.168.0.19,2,0
1738843005.823985,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843006.837367,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843007.868145,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843008.885359,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843011.855409,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843012.88247,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843013.292365,e0:19:54:14:e8:63,192.168.0.1,00:00:00:00:00:00,192.168.0.21,1,0
1738843013.902654,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
1738843014.927485,b8:87:6e:55:63:ea,192.168.0.17,00:00:00:00:00:00,192.168.0.30,1,0
