timestamp,sender_mac,sender_ip,target_mac,target_ip,operation,label
1737294233.933342,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,Normal
1737294259.323055,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,Normal
1737294324.446376,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,Normal
1737294328.956137,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294329.873696,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294330.897941,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294332.240873,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.1,1,Normal
1737294332.240873,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294332.437442,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.1,1,Normal
1737294333.262885,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294333.262885,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294333.355389,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294334.174446,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294334.686466,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,169.254.128.174,1,Normal
1737294335.201311,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294337.246622,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.15,1,Normal
1737294347.00373,4c:5f:70:98:4d:bf,192.168.1.63,00:ad:24:bf:9d:52,192.168.1.1,1,Normal
