timestamp,sender_mac,sender_ip,target_mac,target_ip,operation,label
1737294233.933342,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294259.323055,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294324.446376,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294328.956137,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294329.873696,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294330.897941,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294332.240873,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.1,1,0
1737294332.240873,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,0
1737294332.437442,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.1,1,0
1737294333.262885,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,0
1737294333.262885,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294333.355389,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294334.174446,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,192.168.1.15,1,0
1737294334.686466,5c:ba:ef:de:f8:11,0.0.0.0,00:00:00:00:00:00,169.254.128.174,1,0
1737294335.201311,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.15,1,0
1737294337.246622,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.15,1,0
1737294347.00373,4c:5f:70:98:4d:bf,192.168.1.63,00:ad:24:bf:9d:52,192.168.1.1,1,0
1737294347.014947,00:ad:24:bf:9d:52,192.168.1.1,4c:5f:70:98:4d:bf,192.168.1.63,2,0
1737294378.310253,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294378.310253,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.15,1,0
1737294384.558775,5c:ba:ef:de:f8:11,192.168.1.15,00:00:00:00:00:00,192.168.1.9,1,0
1737294387.320856,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294387.423199,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294569.013613,4c:5f:70:98:4d:bf,192.168.1.63,00:ad:24:bf:9d:52,192.168.1.1,1,0
1737294569.01758,00:ad:24:bf:9d:52,192.168.1.1,4c:5f:70:98:4d:bf,192.168.1.63,2,0
1737294575.12445,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.83,1,0
1737294677.974233,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294677.974291,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294805.938438,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.72,1,0
1737294827.995375,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294827.995416,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294847.970392,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294847.97046,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294868.190379,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294868.190414,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294888.494097,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294888.49413,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294908.374079,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294908.374153,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737294948.563522,9c:2f:4e:32:19:52,192.168.1.9,00:00:00:00:00:00,192.168.1.63,1,0
1737294948.563563,4c:5f:70:98:4d:bf,192.168.1.63,9c:2f:4e:32:19:52,192.168.1.9,2,0
1737295050.576707,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.35,1,0
1737295051.600281,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.35,1,0
1737295052.520687,00:ad:24:bf:9d:52,192.168.1.1,00:00:00:00:00:00,192.168.1.35,1,0
1737295054.15687,bc:09:eb:12:1d:b3,192.168.1.35,00:00:00:00:00:00,192.168.1.1,1,0
